Date,Campaign,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2026-06-01,Google Ads Search - Brand,Google Ads,150,1500,120,8,640
2026-06-01,Facebook Retargeting,Facebook Ads,100,2500,80,6,350
2026-06-01,Instagram Reels Video,Instagram,120,4000,150,2,80
2026-06-02,Google Ads Search - Competitors,Google Ads,200,1200,60,1,50
2026-06-02,LinkedIn InMail B2B,LinkedIn,400,2000,50,2,1100
2026-06-02,YouTube Brand Awareness,YouTube,350,15000,80,0,0
2026-06-03,Instagram Stories Influencer,Instagram,300,8000,280,14,950
2026-06-03,Facebook Lookalike,Facebook Ads,220,5500,120,4,280
2026-06-04,Google Ads Search - Brand,Google Ads,160,1650,135,10,820
2026-06-04,Facebook Retargeting,Facebook Ads,110,2700,90,7,420
2026-06-05,Instagram Reels Video,Instagram,130,4200,160,1,40
2026-06-05,Google Ads Search - Competitors,Google Ads,220,1300,70,1,30
2026-06-06,LinkedIn InMail B2B,LinkedIn,450,2200,55,3,1500
2026-06-06,YouTube Brand Awareness,YouTube,380,16500,95,0,0
2026-06-07,Instagram Stories Influencer,Instagram,320,8500,310,18,1250
2026-06-07,Facebook Lookalike,Facebook Ads,240,6000,140,5,340
2026-06-08,Google Ads Search - Brand,Google Ads,170,1700,140,11,900
2026-06-08,Facebook Retargeting,Facebook Ads,120,2800,105,8,510
2026-06-09,LinkedIn InMail B2B,LinkedIn,500,2500,65,4,2100
2026-06-09,YouTube Brand Awareness,YouTube,400,18000,110,1,120
2026-06-10,Instagram Stories Influencer,Instagram,350,9000,340,22,1600
2026-06-10,Instagram Reels Video,Instagram,140,4500,180,2,90
